Due Date,Status,Recipient,Creator,Match Quality,Recip Email,Pinch Hitter,Notes
1/20/2021,Open,Ktyl,Dtae,good,email,,sample note
1/20/2021,Open,Uilx,Ogal,good,email,,
1/20/2021,Complete,Zemp,Cuox,good,email,,
1/20/2021,Complete,Inqw,Clhp,good,email,,
1/20/2021,Complete,Tnlf,Ndza,good,email,,
1/20/2021,Complete,Smzn,Pvvl,good,email,,
1/20/2021,Complete,Hinf,Fsbi,meh,email,,
1/20/2021,Complete,Pkqy,Bkhs,good,email,,
1/20/2021,Complete,Jldq,Uiut,good,email,,
1/20/2021,Complete,Xsjg,Mmuj,good,email,,
1/20/2021,Complete,Cfli,Agay,good,email,,
1/20/2021,Complete,Vaen,Jdvr,good,email,,
1/20/2021,Complete,Uvdb,Noip,okay,email,,
1/20/2021,Complete,Qehw,Otau,good,email,,
1/20/2021,Complete,Wair,Ukax,good,email,,
1/20/2021,Complete,Onne,Eyog,good,email,,
1/20/2021,Complete,Grys,Wali,good,email,,
1/20/2021,Complete,Sbai,Obml,good,email,,
1/20/2021,Complete,Peaa,Wgcq,good,email,,
1/20/2021,Complete,Wgmv,Koxh,good,email,,
1/20/2021,Complete,Dxdd,Hwvq,good,email,,
1/20/2021,Complete,Zlnf,Uzrl,good,email,,
1/20/2021,Complete,Atse,Zcxb,good,email,,
1/20/2021,Complete,Geel,Qbkj,good,email,,
1/20/2021,Complete,Fqbd,Bxhb,good,email,,
1/20/2021,Complete,Ikxl,Xaud,good,email,,
1/20/2021,Complete,Asko,Vljx,good,email,,
1/20/2021,Complete,Eocj,Bukw,good,email,,
1/20/2021,Complete,Wgzk,Fqcx,good,email,,
1/20/2021,Complete,Iiew,Mzyx,good,email,,
1/20/2021,Complete,Qskt,Umts,good,email,,
1/20/2021,Complete,Vzci,Kepu,good,email,,
1/20/2021,Complete,Jsiv,Ftrq,good,email,,
1/20/2021,Complete,Scmh,Yygu,good,email,,
1/23/2021,Open - Pinch Hit,Zdtd,Crkd,good,email,Geel,
1/20/2021,Complete,Lbly,Oiab,good,email,,
1/20/2021,Complete,Ckdx,Slqd,great,email,,
1/20/2021,Complete,Guqt,Kexu,awesome,email,,
1/20/2021,Complete,Vgvj,Ixpz,good,email,,
1/23/2021,Open - Pinch Hit,Ybkq,Ktyl,good,email,Iiew,
1/20/2021,Complete,Dtae,Uilx,good,email,,
1/20/2021,Complete,Ogal,Zemp,good,email,,
1/20/2021,Complete,Cuox,Inqw,good,email,,
1/20/2021,Complete,Clhp,Tnlf,good,email,,
1/20/2021,Complete,Ndza,Smzn,good,email,,
1/20/2021,Complete,Pvvl,Hinf,good,email,,
1/20/2021,Complete,Fsbi,Pkqy,good,email,,
1/23/2021,Extension,Bkhs,Jldq,good,email,,
1/20/2021,Complete,Uiut,Xsjg,good,email,,
1/20/2021,Complete,Mmuj,Cfli,good,email,,
1/20/2021,Complete,Agay,Vaen,ok,email,,
1/20/2021,Complete,Jdvr,Uvdb,good,email,,
1/20/2021,Complete,Noip,Qehw,good,email,,
1/20/2021,Complete,Otau,Wair,good,email,,
1/20/2021,Complete,Ukax,Onne,good,email,,
1/20/2021,Complete,Eyog,Grys,good,email,,
1/20/2021,Complete,Wali,Sbai,good,email,,
1/20/2021,Complete,Obml,Peaa,good,email,,
1/20/2021,Complete,Wgcq,Wgmv,good,email,,
1/20/2021,Complete,Koxh,Dxdd,good,email,,
1/20/2021,Complete,Hwvq,Zlnf,good,email,,
1/20/2021,Complete,Uzrl,Atse,good,email,,
1/20/2021,Complete,Zcxb,Geel,good,email,,
1/20/2021,Complete,Qbkj,Fqbd,good,email,,
1/20/2021,Complete,Bxhb,Ikxl,good,email,,
1/20/2021,Complete,Xaud,Asko,good,email,,
1/20/2021,Complete,Vljx,Eocj,good,email,,
1/20/2021,Complete,Bukw,Wgzk,good,email,,
1/20/2021,Complete,Fqcx,Iiew,good,email,,
1/20/2021,Complete,Mzyx,Qskt,good,email,,
1/20/2021,Complete,Umts,Vzci,good,email,,
1/20/2021,Complete,Kepu,Jsiv,good,email,,
1/20/2021,Complete,Ftrq,Scmh,good,email,,
1/20/2021,Complete,Yygu,Zdtd,meh,email,,
1/20/2021,Complete,Crkd,Lbly,good,email,,
1/20/2021,Complete,Oiab,Ckdx,good,email,,
1/20/2021,Complete,Slqd,Guqt,good,email,,
1/20/2021,Complete,Kexu,Vgvj,good,email,,
1/20/2021,Complete,Ixpz,Ybkq,good,email,,
